Наименование;Наименование артикула;Код артикула;Валюта;Цена;Доступен для заказа;Зачеркнутая цена;Закупочная цена;В наличии;Краткое описание;Описание;Наклейка;Статус;Тип товаров;Теги;Облагается налогом;Заголовок;META Keywords;META Description;Ссылка на витрину;Адрес видео на YouTube или Vimeo;Дополнительные параметры;Производитель;Программная платформа;Тип корпуса;Кол-во SIM-карт;Размер экрана;Объем встроенной памяти;Материал;Сенсорный экран;Кол-во мегапикселов камеры;Разрешение камеры;Вес;Цвет;Изображения
!!!Samsung;;;;;;;;;;;;1;;;;;;;7788;;;;;;;;;;;;;;;
Автомобильное зарядное устройство Samsung EP-LN920 Black;;;RUB;1790;1;0;0;0;;;;1;Samsung;;;;;;avtomobilnoe_zaryadnoe_ustroystvo_samsung_ep-ln920_black;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50048249b.jpg
Автомобильное зарядное устройство Samsung EP-LN915 2A Fast Charging Black;;;RUB;1390;1;0;0;0;;;;1;Samsung;;;;;;avtomobilnoe_zaryadnoe_ustroystvo_samsung_ep-ln915_2a_fast_charging_black;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50048311b.jpg
!!!Vipe;;;;;;;;;;;;1;;;;;;;6174;;;;;;;;;;;;;;;
Автомобильное зарядное устройство Vipe Car Charger 3.4 A Black;;;RUB;990;1;0;0;0;;;;1;Vipe;;;;;;avtomobilnoe_zaryadnoe_ustroystvo_vipe_car_charger_3_4_a_black;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50048325b.jpg
Автомобильное зарядное устройство Vipe Car Charger 3.4 A White;;;RUB;1190;1;0;0;0;;;;1;Vipe;;;;;;avtomobilnoe_zaryadnoe_ustroystvo_vipe_car_charger_3_4_a_white;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50048326b.jpg
Автомобильное зарядное устройство Vipe Car Charger 2.4 A White;;;RUB;990;1;0;0;0;;;;1;Vipe;;;;;;avtomobilnoe_zaryadnoe_ustroystvo_vipe_car_charger_2_4_a_white;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50048324b.jpg
Автомобильное зарядное устройство Vipe Car Charger 2.4 A Black;;;RUB;990;1;0;0;0;;;;1;Vipe;;;;;;avtomobilnoe_zaryadnoe_ustroystvo_vipe_car_charger_2_4_a_black;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50048323b.jpg
!!Беспроводные зарядные устройства;;;;;;;;;;;;1;;;;;;;2129;;;;;;;;;;;;;;;
!!!Harper;;;;;;;;;;;;1;;;;;;;8195;;;;;;;;;;;;;;;
Беспроводное зарядное устройство Harper QCH-2070 Black Red;;;RUB;790;1;0;0;0;;;;1;Harper;;;;;;besprovodnoe_zaryadnoe_ustroystvo_harper_qch-2070_black_red;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50049275b.jpg
Беспроводное зарядное устройство Harper QCH-3090;;;RUB;1290;1;0;0;0;;;;1;Harper;;;;;;besprovodnoe_zaryadnoe_ustroystvo_harper_qch-3090;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50049276b.jpg
!!!Rombica;;;;;;;;;;;;1;;;;;;;5827;;;;;;;;;;;;;;;
Беспроводное зарядное устройство Rombica Neo Q5;;;RUB;1990;1;0;0;0;;;;1;Rombica;;;;;;besprovodnoe_zaryadnoe_ustroystvo_rombica_neo_q5;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50046683b.jpg
Беспроводное зарядное устройство Rombica Neo Q3;;;RUB;1590;1;0;0;0;;;;1;Rombica;;;;;;besprovodnoe_zaryadnoe_ustroystvo_rombica_neo_q3;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50046900b.jpg
Беспроводное зарядное устройство Rombica Neo Q1;;;RUB;990;1;0;0;0;;;;1;Rombica;;;;;;besprovodnoe_zaryadnoe_ustroystvo_rombica_neo_q1;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50046896b.jpg
!!!Samsung;;;;;;;;;;;;1;;;;;;;7688;;;;;;;;;;;;;;;
Беспроводное зарядное устройство Samsung EP-NG930 Black;;;RUB;2990;1;0;0;0;;;;1;Samsung;;;;;;besprovodnoe_zaryadnoe_ustroystvo_samsung_ep-ng930_black;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50045347b.jpg
Беспроводное зарядное устройство Samsung EP-NG930 White;;;RUB;2790;1;0;0;0;;;;1;Samsung;;;;;;besprovodnoe_zaryadnoe_ustroystvo_samsung_ep-ng930_white;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50045348b.jpg
Беспроводное зарядное устройство Samsung EP-PN920 White;;;RUB;2790;1;0;0;0;;;;1;Samsung;;;;;;besprovodnoe_zaryadnoe_ustroystvo_samsung_ep-pn920_white;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50043743b.jpg
Беспроводное зарядное устройство Samsung EP-PN920 Black;;;RUB;3090;1;0;0;0;;;;1;Samsung;;;;;;besprovodnoe_zaryadnoe_ustroystvo_samsung_ep-pn920_black;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50043742b.jpg
Беспроводное зарядное устройство Samsung EP-PG950 Black;;;RUB;4990;1;0;0;0;;;;1;Samsung;;;;;;besprovodnoe_zaryadnoe_ustroystvo_samsung_ep-pg950_black;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50049343b.jpg
!!Кабели USB;;;;;;;;;;;;1;;;;;;;1009;;;;;;;;;;;;;;;
!!!ADATA;;;;;;;;;;;;1;;;;;;;5541;;;;;;;;;;;;;;;
!!!!AMFI2IN1;;;;;;;;;;;;1;;;;;;;6420;;;;;;;;;;;;;;;
Кабель для iPod, iPhone, iPad ADATA AMFI2IN1-100CM-CWH;;;RUB;1090;1;0;0;0;;;;1;AMFI2IN1;;;;;;kabel_dlya_ipod_iphone_ipad_adata_amfi2in1-100cm-cwh;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50045267b.jpg
!!!!AMFIPL;;;;;;;;;;;;1;;;;;;;5542;;;;;;;;;;;;;;;
Кабель для iPod, iPhone, iPad ADATA AMFIPL-100CM-CPK;;;RUB;990;1;0;0;0;;;;1;AMFIPL;;;;;;kabel_dlya_ipod_iphone_ipad_adata_amfipl-100cm-cpk;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50045265b.jpg
Кабель для iPod, iPhone, iPad ADATA AMFIPL-100CM-CBL;;;RUB;990;1;0;0;0;;;;1;AMFIPL;;;;;;kabel_dlya_ipod_iphone_ipad_adata_amfipl-100cm-cbl;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50045264b.jpg
Кабель для iPod, iPhone, iPad ADATA AMFIPL-100CM-CWH;;;RUB;990;1;0;0;0;;;;1;AMFIPL;;;;;;kabel_dlya_ipod_iphone_ipad_adata_amfipl-100cm-cwh;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50045266b.jpg
!!!Apple;;;;;;;;;;;;1;;;;;;;5938;;;;;;;;;;;;;;;
!!!!Lightning;;;;;;;;;;;;1;;;;;;;5939;;;;;;;;;;;;;;;
Кабель для iPod, iPhone, iPad Apple Lightning to USB cable;;;RUB;2490;1;0;0;0;;;;1;Lightning;;;;;;kabel_dlya_ipod_iphone_ipad_apple_lightning_to_usb_cable;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50042806b.jpg
Кабель для iPod, iPhone, iPad Apple Lightning to USB-C Cable - 1м;;;RUB;2590;1;0;0;0;;;;1;Lightning;;;;;;kabel_dlya_ipod_iphone_ipad_apple_lightning_to_usb-c_cable_-_1m;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50045758b.jpg
Кабель для iPod, iPhone, iPad Apple Lightning to USB-C Cable - 2м;;;RUB;3490;1;0;0;0;;;;1;Lightning;;;;;;kabel_dlya_ipod_iphone_ipad_apple_lightning_to_usb-c_cable_-_2m;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50048168b.jpg
!!!!кабель;;;;;;;;;;;;1;;;;;;;8519;;;;;;;;;;;;;;;
Кабель для iPod, iPhone, iPad Apple кабель Lightning to USB;;;RUB;1690;1;0;0;0;;;;1;кабель;;;;;;kabel_dlya_ipod_iphone_ipad_apple_kabel_lightning_to_usb;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50038432b.jpg
!!!Belkin;;;;;;;;;;;;1;;;;;;;5904;;;;;;;;;;;;;;;
!!!!2.0;;;;;;;;;;;;1;;;;;;;8554;;;;;;;;;;;;;;;
!!!!!USB C;;;;;;;;;;;;1;;;;;;;8556;;;;;;;;;;;;;;;
Кабель USB Type-C Belkin 2.0 USB-C to USB-A;;;RUB;1790;1;0;0;0;;;;1;USB C;;;;;;kabel_usb_type-c_belkin_2_0_usb-c_to_usb-a;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50045022b.jpg
Кабель USB Type-C Belkin 2.0 USB-C to USB-B;;;RUB;1490;1;0;0;0;;;;1;USB C;;;;;;kabel_usb_type-c_belkin_2_0_usb-c_to_usb-b;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50045011b.jpg
