Наименование;Наименование артикула;Код артикула;Валюта;Цена;Доступен для заказа;Зачеркнутая цена;Закупочная цена;В наличии;Краткое описание;Описание;Наклейка;Статус;Тип товаров;Теги;Облагается налогом;Заголовок;META Keywords;META Description;Ссылка на витрину;Адрес видео на YouTube или Vimeo;Дополнительные параметры;Производитель;Программная платформа;Тип корпуса;Кол-во SIM-карт;Размер экрана;Объем встроенной памяти;Материал;Сенсорный экран;Кол-во мегапикселов камеры;Разрешение камеры;Вес;Цвет;Изображения
Apple iPhone 6 64Gb Silver;Москва;;RUB;13500;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, iOS 10<br>экран 4.7", разрешение 1334x750<br>камера 8 МП, автофокус, F/2.2<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>объем оперативной памяти 1 Гб<br>вес 129 г, ШxВxТ 67x138.10x6.90 мм</strong></font>;;1;64Gb;;;;;;smartfon_dct_apple_iphone_6_64gb_silver;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Apple/iPhone/6/Silver/img.jpg
Apple iPhone 6 64Gb Space Gray;Москва;;RUB;13500;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, iOS 10<br>экран 4.7", разрешение 1334x750<br>камера 8 МП, автофокус, F/2.2<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>объем оперативной памяти 1 Гб<br>вес 129 г, ШxВxТ 67x138.10x6.90 мм</strong></font>;;1;64Gb;;;;;;smartfon_dct_apple_iphone_6_64gb_space_gray;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Apple/iPhone/6/SpaceGray/img.jpg
!!!6S;;;;;;;;;;;;1;;;;;;;smartfon_dct_apple_iphone_6s;;;;;;;;;;;;;;;
!!!!16Gb;;;;;;;;;;;;1;;;;;;;smartfon_dct_apple_iphone_6s_16gb;;;;;;;;;;;;;;;
Apple iPhone 6S 16Gb Gold;Казань;;RUB;15000;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, iOS 10<br>экран 4.7", разрешение 1334x750<br>камера 12 МП, автофокус, F/2.2<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>вес 143 г, ШxВxТ 67.10x138.30x7.10 мм</strong></font>;;1;16Gb;;;;;;smartfon_dct_apple_iphone_6s_16gb_gold;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Apple/iPhone/6S/Gold/img.jpg
Apple iPhone 6S 16Gb Rose Gold;Казань;;RUB;15000;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, iOS 10<br>экран 4.7", разрешение 1334x750<br>камера 12 МП, автофокус, F/2.2<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>вес 143 г, ШxВxТ 67.10x138.30x7.10 мм</strong></font>;;1;16Gb;;;;;;smartfon_dct_apple_iphone_6s_16gb_rose_gold;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Apple/iPhone/6S/RoseGold/img.jpg
Apple iPhone 6S 16Gb Silver;Казань;;RUB;15000;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, iOS 10<br>экран 4.7", разрешение 1334x750<br>камера 12 МП, автофокус, F/2.2<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>вес 143 г, ШxВxТ 67.10x138.30x7.10 мм</strong></font>;;1;16Gb;;;;;;smartfon_dct_apple_iphone_6s_16gb_silver;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Apple/iPhone/6S/Silver/img.jpg
Apple iPhone 6S 16Gb Space Gray;Казань;;RUB;15000;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, iOS 10<br>экран 4.7", разрешение 1334x750<br>камера 12 МП, автофокус, F/2.2<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>вес 143 г, ШxВxТ 67.10x138.30x7.10 мм</strong></font>;;1;16Gb;;;;;;smartfon_dct_apple_iphone_6s_16gb_space_gray;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Apple/iPhone/6S/SpaceGray/img.jpg
Apple iPhone 6S 16Gb Gold;Москва;;RUB;15000;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, iOS 10<br>экран 4.7", разрешение 1334x750<br>камера 12 МП, автофокус, F/2.2<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>вес 143 г, ШxВxТ 67.10x138.30x7.10 мм</strong></font>;;1;16Gb;;;;;;smartfon_dct_apple_iphone_6s_16gb_gold;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Apple/iPhone/6S/Gold/img.jpg
Apple iPhone 6S 16Gb Rose Gold;Москва;;RUB;15000;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, iOS 10<br>экран 4.7", разрешение 1334x750<br>камера 12 МП, автофокус, F/2.2<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>вес 143 г, ШxВxТ 67.10x138.30x7.10 мм</strong></font>;;1;16Gb;;;;;;smartfon_dct_apple_iphone_6s_16gb_rose_gold;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Apple/iPhone/6S/RoseGold/img.jpg
