Наименование;Наименование артикула;Код артикула;Валюта;Цена;Доступен для заказа;Зачеркнутая цена;Закупочная цена;В наличии;Краткое описание;Описание;Наклейка;Статус;Тип товаров;Теги;Облагается налогом;Заголовок;META Keywords;META Description;Ссылка на витрину;Адрес видео на YouTube или Vimeo;Дополнительные параметры;Производитель;Программная платформа;Тип корпуса;Кол-во SIM-карт;Размер экрана;Объем встроенной памяти;Материал;Сенсорный экран;Кол-во мегапикселов камеры;Разрешение камеры;Вес;Цвет;Изображения
Смартфон Samsung Galaxy A3 (2017) 16Gb Black (новый);cамовывоз Москва (курьерская доставка: +400₽);;RUB;15620;1;0;0;10;;<font maxId="4"><strong>﻿смартфон на платформе Android<br>экран 4.7", разрешение 1280x720<br>камера 13 МП, автофокус, F/1.9<br>слот для карты памяти<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>объем оперативной памяти 2 Гб<br>аккумулятор 2350 мА?ч<br>вес 138 г, ШxВxТ 66.20x135.40x7.90 мм<br><br>Доп. информация о товаре: новый, без официальной гарантии производителя в РФ</strong></font>;;1;A3 (2017);;;;;;14201;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Samsung/Galaxy/A3(2017)/Black/img.jpg
Смартфон Samsung Galaxy A3 (2017) 16Gb Gold (новый);cамовывоз Регионы (курьерская доставка: +300₽);;RUB;18400;1;0;0;10;;<font maxId="4"><strong>﻿смартфон на платформе Android<br>экран 4.7", разрешение 1280x720<br>камера 13 МП, автофокус, F/1.9<br>слот для карты памяти<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>объем оперативной памяти 2 Гб<br>аккумулятор 2350 мА?ч<br>вес 138 г, ШxВxТ 66.20x135.40x7.90 мм<br><br>Доп. информация о товаре: новый, с полной официальной гарантией производителя 1 год в РФ</strong></font>;;1;A3 (2017);;;;;;14143;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Samsung/Galaxy/A3(2017)/Gold/img.jpg
Смартфон Samsung Galaxy A3 (2017) 16Gb Gold (новый);cамовывоз Москва (курьерская доставка: +400₽);;RUB;17600;1;0;0;10;;<font maxId="4"><strong>﻿смартфон на платформе Android<br>экран 4.7", разрешение 1280x720<br>камера 13 МП, автофокус, F/1.9<br>слот для карты памяти<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>объем оперативной памяти 2 Гб<br>аккумулятор 2350 мА?ч<br>вес 138 г, ШxВxТ 66.20x135.40x7.90 мм<br><br>Доп. информация о товаре: новый, с полной официальной гарантией производителя 1 год в РФ</strong></font>;;1;A3 (2017);;;;;;14143;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Samsung/Galaxy/A3(2017)/Gold/img.jpg
Смартфон Samsung Galaxy A3 (2017) 16Gb Gold (новый);cамовывоз Регионы (курьерская доставка: +300₽);;RUB;16330;1;0;0;10;;<font maxId="4"><strong>﻿смартфон на платформе Android<br>экран 4.7", разрешение 1280x720<br>камера 13 МП, автофокус, F/1.9<br>слот для карты памяти<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>объем оперативной памяти 2 Гб<br>аккумулятор 2350 мА?ч<br>вес 138 г, ШxВxТ 66.20x135.40x7.90 мм<br><br>Доп. информация о товаре: новый, без официальной гарантии производителя в РФ</strong></font>;;1;A3 (2017);;;;;;14202;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Samsung/Galaxy/A3(2017)/Gold/img.jpg
Смартфон Samsung Galaxy A3 (2017) 16Gb Gold (новый);cамовывоз Москва (курьерская доставка: +400₽);;RUB;15620;1;0;0;10;;<font maxId="4"><strong>﻿смартфон на платформе Android<br>экран 4.7", разрешение 1280x720<br>камера 13 МП, автофокус, F/1.9<br>слот для карты памяти<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>объем оперативной памяти 2 Гб<br>аккумулятор 2350 мА?ч<br>вес 138 г, ШxВxТ 66.20x135.40x7.90 мм<br><br>Доп. информация о товаре: новый, без официальной гарантии производителя в РФ</strong></font>;;1;A3 (2017);;;;;;14202;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Samsung/Galaxy/A3(2017)/Gold/img.jpg
Смартфон Samsung Galaxy A3 (2017) 16Gb Blue (новый);cамовывоз Регионы (курьерская доставка: +300₽);;RUB;18400;1;0;0;10;;<font maxId="4"><strong>﻿смартфон на платформе Android<br>экран 4.7", разрешение 1280x720<br>камера 13 МП, автофокус, F/1.9<br>слот для карты памяти<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>объем оперативной памяти 2 Гб<br>аккумулятор 2350 мА?ч<br>вес 138 г, ШxВxТ 66.20x135.40x7.90 мм<br><br>Доп. информация о товаре: новый, с полной официальной гарантией производителя 1 год в РФ</strong></font>;;1;A3 (2017);;;;;;14144;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Samsung/Galaxy/A3(2017)/Blue/img.jpg
Смартфон Samsung Galaxy A3 (2017) 16Gb Blue (новый);cамовывоз Москва (курьерская доставка: +400₽);;RUB;17600;1;0;0;10;;<font maxId="4"><strong>﻿смартфон на платформе Android<br>экран 4.7", разрешение 1280x720<br>камера 13 МП, автофокус, F/1.9<br>слот для карты памяти<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>объем оперативной памяти 2 Гб<br>аккумулятор 2350 мА?ч<br>вес 138 г, ШxВxТ 66.20x135.40x7.90 мм<br><br>Доп. информация о товаре: новый, с полной официальной гарантией производителя 1 год в РФ</strong></font>;;1;A3 (2017);;;;;;14144;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Samsung/Galaxy/A3(2017)/Blue/img.jpg
Смартфон Samsung Galaxy A3 (2017) 16Gb Blue (новый);cамовывоз Регионы (курьерская доставка: +300₽);;RUB;16330;1;0;0;10;;<font maxId="4"><strong>﻿смартфон на платформе Android<br>экран 4.7", разрешение 1280x720<br>камера 13 МП, автофокус, F/1.9<br>слот для карты памяти<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>объем оперативной памяти 2 Гб<br>аккумулятор 2350 мА?ч<br>вес 138 г, ШxВxТ 66.20x135.40x7.90 мм<br><br>Доп. информация о товаре: новый, без официальной гарантии производителя в РФ</strong></font>;;1;A3 (2017);;;;;;14203;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Samsung/Galaxy/A3(2017)/Blue/img.jpg
Смартфон Samsung Galaxy A3 (2017) 16Gb Blue (новый);cамовывоз Москва (курьерская доставка: +400₽);;RUB;15620;1;0;0;10;;<font maxId="4"><strong>﻿смартфон на платформе Android<br>экран 4.7", разрешение 1280x720<br>камера 13 МП, автофокус, F/1.9<br>слот для карты памяти<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>объем оперативной памяти 2 Гб<br>аккумулятор 2350 мА?ч<br>вес 138 г, ШxВxТ 66.20x135.40x7.90 мм<br><br>Доп. информация о товаре: новый, без официальной гарантии производителя в РФ</strong></font>;;1;A3 (2017);;;;;;14203;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Samsung/Galaxy/A3(2017)/Blue/img.jpg
!!!!A5 (2015);;;;;;;;;;;;1;;;;;;;10678;;;;;;;;;;;;;;;
